message,severity,attributes,tags,timestamp
"2026-03-26 22:43:13,824 [INFO]   [SOL] VOL: pump leg done (base 61.50% → 96.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:43:20.742141302Z
"2026-03-26 22:43:37,679 [INFO]   [ETH] VOL: pump leg done (base 61.50% → 97.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:43:40.581818362Z
"2026-03-26 22:52:35,878 [INFO]   [XRP] S1 SIGNAL: direction=YES @ 78.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:52:37.152066580Z
"2026-03-26 22:54:43,914 [INFO]   [BTC] S1 SIGNAL: direction=YES @ 78.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:54:47.821479416Z
"2026-03-26 22:55:30,726 [INFO]   [SOL] S1 SIGNAL: direction=YES @ 78.00%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:55:37.677150028Z
"2026-03-26 22:58:20,842 [INFO]   [SOL] VOL: pump leg done (base 60.50% → 95.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:58:29.521604321Z
"2026-03-26 22:58:37,196 [INFO]   [ETH] S1 SIGNAL: direction=YES @ 80.00%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:58:37.212104748Z
"2026-03-26 22:59:02,926 [INFO]   [BTC] VOL: pump leg done (base 64.50% → 99.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:59:07.219538059Z
"2026-03-26 22:59:10,050 [INFO]   [ETH] VOL: pump leg done (base 48.00% → 83.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:59:10.058266400Z
"2026-03-26 22:59:42,788 [INFO]   [XRP] VOL: pump leg done (base 64.00% → 99.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T22:59:49.935529725Z
"2026-03-26 23:05:02,161 [INFO]   [ETH] S1 SIGNAL: direction=YES @ 80.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T23:05:03.799155213Z
"2026-03-26 23:05:32,652 [INFO]   [BTC] S1 SIGNAL: direction=YES @ 78.50%",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T23:05:33.604553193Z
"2026-03-26 23:08:56,830 [INFO]   [BTC] VOL: dump leg done (base 73.50% → 35.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T23:09:05.786591854Z
"2026-03-26 23:08:56,896 [INFO]   [ETH] VOL: dump leg done (base 80.50% → 43.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T23:09:05.786597258Z
"2026-03-26 23:09:55,401 [INFO]   [SOL] VOL: dump leg done (base 68.00% → 32.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T23:09:56.041053372Z
"2026-03-26 23:09:55,467 [INFO]   [XRP] VOL: dump leg done (base 59.50% → 18.50%)",info,"{""level"":""info""}","{""project"":""9409ddfa-0500-48ff-b3fa-e3db90fa1091"",""environment"":""e228329a-f513-4199-919b-76d15d46ec8e"",""service"":""8bd636f2-4dab-4d92-918b-b4bccb53fa9c"",""deployment"":""94032a27-ad79-4bca-90c0-521b01485e42"",""replica"":""7c97fd6b-8e71-46a9-a8f1-b1b1ff1d426c""}",2026-03-26T23:09:56.041059055Z
