time,asset,yes,no,event,pnl
03/26 15:28:46,BTC,0.025,0.975,holding,
03/26 15:28:47,SOL,0.025,0.975,*** SELL NO @ 97.50% ***,
03/26 15:28:47,ETH,0.025,0.975,holding,
03/26 15:28:47,SOL,0.025,0.975,holding,
03/26 15:28:50,BTC,0.025,0.975,holding,
03/26 15:28:50,ETH,0.025,0.975,holding,
03/26 15:28:50,SOL,0.025,0.975,holding,
03/26 15:28:52,BTC,0.015,0.985,holding,
03/26 15:28:53,ETH,0.015,0.985,holding,
03/26 15:28:53,SOL,0.015,0.985,holding,
03/26 15:28:55,BTC,0.005,0.995,holding,
03/26 15:28:55,ETH,0.015,0.985,holding,
03/26 15:28:55,SOL,0.015,0.985,holding,
03/26 15:28:58,BTC,0.005,0.995,holding,
03/26 15:28:58,ETH,0.015,0.985,holding,
03/26 15:28:58,SOL,0.015,0.985,holding,
03/26 15:29:00,BTC,0.005,0.995,holding,
03/26 15:29:00,ETH,0.015,0.985,holding,
03/26 15:29:00,SOL,0.015,0.985,holding,
03/26 15:29:03,BTC,0.005,0.995,holding,
03/26 15:29:03,ETH,0.025,0.975,holding,
03/26 15:29:03,SOL,0.005,0.995,holding,
03/26 15:29:05,BTC,0.005,0.995,holding,
03/26 15:29:05,ETH,0.015,0.985,holding,
03/26 15:29:06,SOL,0.005,0.995,holding,
03/26 15:29:08,BTC,0.005,0.995,holding,
03/26 15:29:08,ETH,0.015,0.985,holding,
03/26 15:29:08,SOL,0.005,0.995,holding,
03/26 15:29:10,BTC,0.005,0.995,holding,
03/26 15:29:11,ETH,0.015,0.985,holding,
03/26 15:29:11,SOL,0.005,0.995,holding,
03/26 15:29:13,BTC,0.005,0.995,holding,
03/26 15:29:13,ETH,0.015,0.985,holding,
03/26 15:29:13,SOL,0.005,0.995,holding,
03/26 15:29:16,BTC,0.005,0.995,holding,
03/26 15:29:16,ETH,0.015,0.985,holding,
03/26 15:29:16,SOL,0.005,0.995,holding,
03/26 15:29:18,BTC,0.005,0.995,holding,
03/26 15:29:18,ETH,0.015,0.985,holding,
03/26 15:29:19,SOL,0.005,0.995,holding,
03/26 15:29:21,BTC,0.005,0.995,holding,
03/26 15:29:21,ETH,0.015,0.985,holding,
03/26 15:29:21,SOL,0.005,0.995,holding,
03/26 15:29:23,BTC,0.005,0.995,holding,
03/26 15:29:24,ETH,0.005,0.995,holding,
